bugid,nl_tokens,code_tokens,classnames,explicit_mentions
8233,42,2,2,0
8214,18,1,2,0
8339,59,17,3,2
8137,108,11,16,0
8082,52,6,6,0
8231,81,4,14,1
8424,703,45,33,1
7882,106,6,4,0
8217,28,3,4,0
7973,165,12,13,0
7890,12,4,2,1
8218,36,3,1,0
8062,30,1,3,0
8033,42,2,3,1
7868,8,2,1,1
8153,166,9,9,1
7144,48,5,10,0
8134,39,5,7,1
7842,58,6,1,1
8434,22,0,3,0
8436,60,4,4,0
8001,36,7,5,2
8118,240,22,7,0
8148,45,3,2,0
8035,17,2,4,0
7871,266,69,60,1
8094,12,1,0,0
7981,32,1,2,0
8123,120,11,8,0
7785,87,22,17,1
7894,152,24,22,0
7953,52,7,4,0
8073,8,1,0,0
7826,35,4,6,0
8241,110,6,10,1
7896,58,0,9,0
7994,145,13,10,1
7876,41,6,7,1
7977,34,2,2,0
8092,137,28,16,1
7971,260,85,29,2
7990,40,2,7,1
8313,182,26,12,1
7931,37,1,3,0
7739,122,35,20,1
7899,261,8,8,0
8315,51,9,3,0
8359,59,4,9,0
8453,36,6,2,0
8226,24,4,0,0
8426,52,3,10,0
8081,40,0,6,0
8201,53,6,3,0
7803,195,13,20,1
8346,127,3,4,1
7855,57,3,6,0
7909,53,0,7,0
8189,36,1,2,0
8125,47,10,8,0
8222,184,10,4,1
8272,47,7,4,0
8395,31,0,1,0
8213,165,11,7,1
7992,51,8,5,0
8194,255,22,21,0
7886,101,10,12,0
8236,70,5,6,0
8253,206,100,56,1
8355,30,4,6,0
8008,32,8,3,0
7224,151,7,14,1
8086,124,14,13,0
7922,238,31,17,0
8327,511,24,14,0
8358,87,6,3,0
7488,293,31,24,0
7986,161,15,16,0
7829,46,5,5,0
8430,15,3,3,0
8341,353,51,14,2
7988,40,2,2,0
8411,37,1,4,0
7989,24,2,3,1
8425,50,5,10,0
8121,49,2,1,1
8356,50,6,3,1
7935,7,5,4,1
7883,49,0,4,0
8100,13,2,1,0
7888,29,4,2,0
8049,135,12,7,0
8088,1599,145,44,2
8160,65,4,2,0
8432,85,2,3,0
7866,224,19,1,0
8063,178,19,1,0
8087,1889,202,92,0
8030,39,0,2,0
7910,45,4,1,0
7874,12,3,2,0
8336,38,8,6,0
7839,53,4,10,0
7978,42,3,9,2
8077,56,10,7,1
8329,14,1,1,0
7914,242,8,7,0
8106,29,0,2,0
8185,474,68,27,0
8401,57,3,3,0
8369,58,3,10,1
7644,467,67,51,0
7885,90,0,12,0
7880,53,10,9,1
8190,241,11,10,0
7662,100,5,6,0
8168,75,1,3,0
8146,196,17,6,0
8417,85,10,5,1
7916,39,3,7,0
7821,68,9,7,1
8032,523,42,13,1
8156,28,1,3,0
8353,43,2,5,1
8200,650,41,42,1
7867,405,135,112,0
8053,38,5,3,2
8268,51,1,4,0
8295,129,15,9,0
7966,60,2,3,0
7968,44,3,2,0
7870,16,4,2,1
7830,29,4,6,0
7836,72,12,5,1
7784,61,0,1,0
8409,189,7,13,0
8036,42,1,10,0
8193,207,76,38,2
7852,28,4,5,0
8065,57,3,4,0
7900,36,4,4,0
8352,75,2,7,2
7892,101,5,8,0
8382,168,7,11,0
7318,173,10,8,4
7856,19,1,4,0
8169,105,6,9,0
8338,63,8,0,0
