bugid,nl_tokens,code_tokens,classnames,explicit_mentions
406,285,16,6,1
256,131,13,17,3
388,143,15,7,2
472,68,3,1,1
316,112,7,2,1
372,63,22,9,1
240,31,2,1,1
363,87,21,7,0
307,45,18,3,1
501,73,5,2,1
444,215,14,3,3
360,117,15,8,1
359,170,19,4,1
379,559,54,26,1
391,189,8,1,1
294,20,1,1,1
384,146,14,1,1
400,186,13,1,1
496,13,2,4,1
453,68,3,3,1
221,37,4,3,2
288,89,6,6,1
424,199,24,14,2
427,439,27,2,2
409,161,10,2,1
265,68,18,5,2
323,78,15,3,1
350,69,11,2,1
413,175,16,2,0
426,335,24,4,2
454,19,4,1,1
266,84,6,4,1
389,141,14,7,1
228,65,10,2,1
475,115,12,1,1
474,84,15,4,1
407,188,11,4,1
500,76,5,2,1
470,58,5,2,2
331,82,6,3,2
262,51,6,2,1
261,79,9,3,1
415,163,9,2,1
219,18,6,6,1
237,89,8,2,1
249,37,2,2,1
304,47,22,2,1
217,317,12,2,1
495,39,2,7,1
