bugid,nl_tokens,code_tokens,classnames,explicit_mentions
1230,114,13,9,2
1018,442,16,1,1
916,226,54,11,1
1182,118,20,4,1
1205,66,10,6,1
1193,71,4,2,1
1245,11,5,0,0
1262,66,4,4,1
1248,50,5,1,1
1162,48,12,2,1
1120,48,4,2,1
1163,34,3,2,1
1219,564,42,5,1
1132,34,5,2,1
1147,134,4,3,1
1190,205,33,2,1
1251,30,6,2,1
1229,178,8,5,1
1216,86,4,3,0
1226,38,7,3,1
1242,7,1,1,1
1141,149,2,1,1
1152,292,43,4,0
1133,33,10,3,1
1142,89,10,2,1
1116,105,14,8,1
1069,101,4,2,1
1002,88,9,1,1
1261,222,22,6,1
1191,23,7,2,1
1202,19,3,0,0
1112,33,4,3,1
1200,7,2,1,1
1199,66,13,2,1
901,42,5,0,0
1252,48,7,4,1
1192,128,26,12,2
1232,24,8,1,1
1178,95,3,2,1
1214,51,8,3,1
