bugid,nl_tokens,code_tokens,classnames,explicit_mentions
589,27,6,1,0
494,441,40,4,1
404,178,16,5,1
552,75,7,0,0
722,101,8,7,0
669,55,3,2,0
692,335,22,5,0
588,139,8,6,1
486,98,12,2,1
728,230,26,5,2
572,31,2,6,1
489,73,5,4,1
601,181,6,1,0
480,13,5,0,0
691,65,16,7,1
645,184,27,14,1
648,68,3,3,1
575,43,2,2,2
744,63,8,0,0
483,58,9,2,1
699,45,1,1,0
373,113,16,3,0
466,45,2,0,0
555,43,5,3,1
493,64,13,2,1
704,73,3,4,0
482,41,3,2,1
723,45,5,0,0
479,52,7,10,1
619,156,4,0,0
506,69,2,5,0
465,125,15,4,0
380,47,4,1,0
519,312,10,5,0
546,87,4,3,1
640,47,4,1,0
505,87,3,2,1
573,27,3,5,1
540,20,2,2,1
