bugid,nl_tokens,code_tokens,classnames,explicit_mentions
439750,94,5,3,0
440285,48,3,9,0
440764,117,44,48,1
440773,45,5,2,0
441208,58,11,6,0
441273,8,2,4,1
441726,607,100,56,4
441734,282,20,24,0
442416,100,10,6,1
442418,93,12,8,1
442452,135,17,6,0
442614,135,4,7,4
442755,83,49,44,1
443769,175,15,21,0
443932,67,15,4,1
444300,41,5,10,0
444803,128,40,13,0
445099,53,4,1,0
446255,112,27,8,0
446317,165,38,9,0
446691,87,46,42,0
446746,33,5,3,0
446765,58,15,12,0
447573,95,9,8,2
447579,74,8,4,2
448028,342,13,7,0
448112,220,43,41,0
448792,101,5,8,2
448794,59,3,4,1
448800,47,11,7,1
448914,41,3,2,1
448954,107,16,2,0
450037,55,11,4,0
450380,107,38,36,1
450415,97,9,7,0
450442,98,36,20,1
450490,100,11,3,1
450604,143,73,86,4
450859,39,2,8,0
451289,22,38,19,1
451418,71,43,45,1
451540,54,1,1,0
451840,52,10,5,0
451902,54,1,1,0
451903,54,1,1,0
452194,123,22,10,0
453475,113,24,7,0
453527,51,0,4,0
453687,47,14,4,0
454031,111,19,4,0
455557,140,30,39,1
455882,178,77,20,1
455945,249,25,15,0
456236,103,7,8,0
456481,141,43,12,0
456487,233,51,27,0
456497,82,19,12,0
456532,123,33,31,2
456861,147,67,54,1
456960,229,18,25,1
457079,65,11,5,0
457210,248,36,9,0
458361,107,62,36,3
458577,181,23,15,2
458613,80,13,11,0
459320,134,16,8,0
459739,178,66,43,1
459967,90,5,7,1
460008,65,13,3,0
460186,59,24,18,1
460350,61,8,9,1
460422,124,44,22,0
460484,193,106,42,2
460993,308,48,59,1
461025,85,14,6,0
461863,90,7,13,0
461969,31,22,20,0
462083,223,21,18,0
462756,145,56,13,2
462768,48,23,16,1
462790,151,29,28,0
463330,23,8,6,2
463533,49,18,8,1
464312,58,9,5,0
464408,198,144,76,1
464463,85,12,15,1
464615,63,17,11,0
464800,26,5,3,1
