bugid,nl_tokens,code_tokens,classnames,explicit_mentions
322352,48,1,5,0
413986,7,1,0,0
414291,38,1,0,0
415346,64,11,12,1
415488,48,0,3,0
416272,35,1,3,0
416723,25,2,0,0
417544,63,3,6,1
418226,110,2,6,0
419431,143,14,10,1
420609,120,95,43,1
421268,101,3,2,0
421976,112,17,4,0
421979,209,16,8,0
424111,19,6,0,0
424113,48,0,3,0
426503,81,16,6,1
426524,28,1,1,1
426525,43,1,1,0
426527,43,1,1,0
426528,44,1,3,0
426529,68,3,1,0
426531,19,0,2,0
426532,52,0,2,0
427995,5,1,1,1
428065,52,3,2,1
428259,93,44,22,1
429280,72,15,17,1
429372,136,26,6,0
429373,58,17,2,1
429679,83,52,29,2
429852,80,12,2,0
429902,193,5,17,0
430812,95,4,0,0
431223,98,24,17,0
432375,64,2,3,0
433416,43,3,3,0
435205,87,7,8,0
435698,33,1,0,0
435810,103,4,3,0
435872,49,22,26,1
436418,12,8,2,0
436950,141,5,7,0
437726,60,2,2,0
438770,48,2,5,0
438848,109,62,21,1
439034,120,25,11,0
439409,38,9,12,1
440275,48,0,2,0
441190,66,1,0,0
441331,29,0,0,0
443338,81,9,15,0
444137,88,5,1,0
444936,179,37,22,1
454594,32,8,2,0
458072,93,22,24,1
461549,81,2,0,0
