bugid,nl_tokens,code_tokens,classnames,explicit_mentions
14654,42,1,1,0
58185,147,3,6,1
75739,54,9,3,1
77948,157,87,44,1
78548,36,5,4,1
78559,45,11,4,1
78634,98,7,4,1
78854,20,5,2,1
78856,102,2,7,0
79107,15,1,0,0
79268,89,5,2,0
79481,160,32,37,1
80120,42,2,6,1
80276,38,4,5,1
80506,74,11,15,2
80830,70,4,1,0
81242,596,92,6,2
81264,242,30,40,1
81265,59,1,5,1
81834,87,17,13,0
82277,26,0,2,0
82346,30,14,12,1
82500,64,6,4,1
82905,175,7,9,0
83251,15,0,0,0
83262,77,1,4,0
83408,96,2,11,1
83699,142,57,32,0
84012,277,28,40,1
84557,31,0,4,0
84906,10,0,0,0
84911,66,3,1,0
86000,126,9,6,0
86294,30,6,1,0
86631,55,1,2,1
87363,227,33,56,1
87460,150,29,40,1
87676,39,1,4,1
87855,59,38,8,1
88717,114,5,8,0
88829,62,3,2,2
89533,12,1,1,0
90018,54,6,8,1
91159,26,10,5,1
91317,14,1,2,5
92013,76,6,5,2
92181,30,3,2,1
92241,84,1,3,1
92341,24,0,5,4
92612,114,3,4,1
92757,4,1,3,1
93380,123,2,2,0
93724,56,15,4,1
94467,34,0,4,1
94598,125,19,10,0
94603,33,1,4,1
95410,58,3,0,0
96053,62,2,8,1
96916,10,2,5,1
97651,207,25,36,0
97678,60,3,7,1
97745,99,5,5,1
99145,34,2,7,1
99266,29,1,2,1
99376,56,4,3,0
100040,135,18,2,1
100095,105,7,7,7
100387,59,6,8,1
101354,8,1,1,1
102756,78,5,5,1
102794,246,51,44,1
103863,384,5,27,0
103976,48,4,4,4
104150,108,5,14,0
104545,143,6,4,2
104966,103,5,8,1
105772,35,0,6,0
106372,55,3,6,1
107145,64,13,7,1
108236,104,8,6,6
108591,60,4,12,3
108769,111,2,3,1
108792,49,3,4,1
108813,242,15,7,1
111259,52,1,0,0
112358,33,0,4,0
113971,66,32,5,2
115947,35,2,8,0
119192,21,8,7,1
