bugid,nl_tokens,code_tokens,classnames,explicit_mentions
16281,89,16,26,1
13731,47,8,3,0
14901,47,5,5,4
15014,212,38,31,1
15214,259,13,21,1
15019,367,40,22,2
14525,90,17,31,1
14092,61,0,3,0
15976,28,4,5,1
16244,177,15,20,2
13885,77,1,7,0
15052,64,14,8,1
4931,66,7,9,1
13839,197,2,5,0
14359,118,16,6,0
14512,50,0,4,1
13734,127,2,14,1
14658,22,1,1,1
15098,116,1,5,0
13974,86,15,5,1
15290,45,2,5,0
15050,91,3,4,1
13988,90,10,17,1
15064,207,22,14,1
16644,282,59,122,1
16456,51,21,17,3
15100,19,2,0,0
13978,38,3,1,1
14115,87,10,8,1
15093,75,4,12,1
13959,195,2,17,0
15848,153,10,6,1
16754,631,49,52,0
14936,30,9,7,2
15000,17,3,0,0
15152,111,8,6,1
16360,44,6,7,1
14445,46,2,7,1
15582,22,2,2,1
16731,47,5,9,2
14922,66,2,2,0
13778,676,157,15,0
14705,108,5,4,1
13704,101,12,6,1
14555,258,43,55,1
16551,43,9,13,2
14625,93,18,15,1
14755,10,1,0,0
14742,28,4,4,1
15085,978,137,62,0
16160,87,12,19,1
16310,41,3,3,1
13733,223,12,4,1
14196,63,3,8,0
15231,22,6,6,1
16221,65,1,9,0
15707,82,8,7,0
14557,169,25,13,1
14603,34,1,0,0
14771,198,32,29,1
15360,16,1,3,1
14317,94,2,3,1
13923,256,108,5,0
15684,34,8,1,0
16609,268,30,46,1
15635,14,1,0,0
15216,244,34,43,1
14624,22,1,1,0
15650,31,5,7,3
14926,286,24,14,2
15634,56,12,9,1
13686,172,9,4,1
16125,13,2,1,1
16081,72,10,6,2
16359,292,29,23,1
13617,64,7,6,1
16066,107,15,12,1
15125,98,13,14,1
12897,90,0,9,0
15627,133,12,6,1
16117,41,3,6,1
14280,56,32,42,0
16471,128,15,12,1
11333,19,2,0,0
15323,55,2,8,0
16721,216,12,18,0
16645,25,5,4,1
15324,56,10,5,1
15378,88,3,5,0
15664,163,14,7,0
15850,67,5,2,0
14867,173,3,20,1
14604,76,20,5,1
14777,41,11,12,1
14241,221,18,10,0
16752,154,6,12,0
15287,136,5,9,1
16669,70,13,8,1
17058,66,2,5,0
14592,57,5,8,1
15101,154,2,11,0
16801,39,5,4,0
13800,112,13,15,0
15104,210,43,57,0
14942,44,2,0,0
15467,52,8,3,1
14660,299,36,55,1
16103,215,12,30,1
16464,544,48,79,2
13833,159,70,36,0
14042,40,4,2,1
13888,240,21,8,3
15070,39,1,3,1
13826,45,0,6,0
14545,52,18,14,0
16853,351,39,49,2
16723,50,2,3,1
14024,72,13,17,1
14313,8,1,2,0
16047,14,2,0,0
16889,108,12,8,1
16362,33,5,3,1
14406,47,0,5,0
15139,8,1,3,0
13863,37,3,2,0
14759,147,17,3,1
15358,10,3,0,0
17020,313,42,33,1
16966,37,2,2,1
17042,29,2,2,1
14717,44,3,3,0
14208,18,0,1,0
15636,218,19,21,1
15645,95,6,8,0
14802,137,5,11,1
16367,90,9,12,2
16283,137,11,19,0
14362,19,2,4,1
12716,157,11,10,1
15424,89,0,6,1
15637,24,1,6,0
15856,153,8,6,0
16767,67,3,2,0
14155,408,41,58,0
14229,96,11,14,1
14711,40,4,5,2
15946,123,4,6,0
12198,21,0,0,0
15485,28,2,4,0
15957,329,20,9,0
14510,245,23,15,0
15109,261,34,22,1
14812,372,41,47,0
16660,146,23,10,1
13732,182,24,22,1
13694,47,3,7,0
16739,81,9,20,1
16612,44,3,1,1
15676,144,13,11,2
14896,67,12,8,2
14840,58,2,10,0
16062,24,2,0,0
13770,71,2,1,0
14781,10,0,0,0
15746,129,12,12,1
14077,21,1,1,0
15278,76,2,14,0
14663,116,11,8,1
15327,142,13,14,1
14209,190,40,3,0
14076,41,5,6,2
13662,196,16,12,0
14201,141,3,6,0
14761,512,16,15,0
16624,145,12,6,0
15252,219,21,5,1
12832,633,11,17,0
16716,53,7,4,0
13711,179,14,13,2
16304,4383,1248,487,1
13897,27,3,1,1
16810,140,17,28,1
16910,52,11,3,1
14815,8,4,6,0
14793,34,0,2,0
13646,68,3,3,1
15146,63,1,3,0
13717,76,19,12,0
16270,348,28,68,1
15379,179,52,36,1
12006,111,19,18,1
1989,76,7,7,1
14784,115,8,1,1
14770,157,14,12,1
14178,411,40,62,0
14041,41,4,4,0
15559,31,2,3,0
15617,117,4,11,1
13606,156,15,6,1
15441,146,0,7,0
15200,84,4,1,0
13969,57,7,5,1
14597,30,0,2,1
15621,586,52,63,2
13982,22,3,2,1
15364,76,6,1,0
12791,302,23,35,0
14384,38,8,14,1
13821,54,0,8,0
14343,121,8,9,1
14153,9,1,1,1
15035,117,3,7,1
15593,62,5,10,1
16429,624,69,48,1
13608,167,21,5,0
13651,151,15,7,4
13892,91,16,7,0
13668,55,6,12,2
14145,87,0,11,1
14012,505,25,17,2
16649,305,4,23,0
13858,41,3,3,0
15028,63,3,3,1
15828,4,0,0,0
15251,209,2,10,1
13647,35,1,7,0
13802,377,59,95,2
14370,97,8,12,1
14654,12,1,2,1
13958,77,10,4,1
12393,565,51,18,0
16815,527,42,60,1
14953,107,7,7,1
16971,181,25,13,0
16870,133,18,8,2
14782,186,21,14,1
16992,161,24,18,1
15221,146,9,4,0
15955,89,4,9,1
14485,47,11,13,0
13811,56,5,2,0
16880,237,8,2,1
16615,3,1,1,1
15102,103,4,18,1
15018,161,50,57,1
15063,432,26,3,0
17032,85,4,10,0
15279,29,4,5,1
14788,52,0,9,0
13971,302,59,53,2
14256,166,10,9,1
14377,33,4,0,0
14723,26,0,1,0
13997,655,39,8,0
13895,34,0,2,0
15126,52,13,3,1
16711,20,1,0,0
14861,117,6,9,1
16091,149,2,17,1
13970,306,41,42,1
15515,54,7,11,0
16704,95,7,17,0
15866,190,7,4,0
14106,68,14,17,1
14822,7,0,0,0
16614,15,0,0,0
13824,91,26,24,1
13722,24,3,1,1
15465,423,30,23,0
15698,44,7,13,0
15319,126,11,3,1
16207,97,10,6,1
15876,253,26,13,0
14011,35,3,0,0
15034,33,1,1,1
15889,121,7,4,0
16074,68,2,2,0
14463,259,19,15,2
16058,66,15,18,1
15781,7,4,1,0
14818,1797,52,19,0
13809,104,39,40,2
15697,195,48,40,1
13825,198,18,35,2
16578,128,13,9,2
15932,75,22,9,0
15952,66,0,13,0
13767,59,6,3,1
14291,115,23,31,1
14458,655,22,19,0
14497,134,8,7,1
14706,83,13,7,1
16788,241,32,22,1
14050,54,10,15,1
13820,38,2,3,1
14521,397,17,14,1
15504,71,0,0,0
16460,72,17,9,2
16110,21,1,0,0
13635,129,28,34,0
16527,29,2,4,1
16165,75,8,8,1
15285,24,3,4,2
13813,31,4,1,1
15548,40,6,2,1
15325,125,5,13,0
14206,346,28,8,1
14591,34,2,9,1
16697,14,4,4,1
14544,32,1,0,0
16572,77,5,4,1
14838,138,6,21,1
14228,9,5,6,1
13878,100,23,18,1
13317,266,43,44,1
13630,18,2,1,0
14923,53,7,3,1
16938,114,4,17,0
12491,36,4,5,2
16309,11,1,1,1
13706,71,5,8,1
15001,183,15,17,2
15669,69,1,14,0
16144,69,4,6,0
15622,180,15,20,1
13857,80,3,2,0
16294,114,19,11,1
13865,24,0,3,1
16293,83,27,33,1
14598,124,12,11,1
16032,320,40,28,2
14211,110,1,12,0
14954,72,11,3,0
16699,61,6,1,1
11625,53,7,7,1
13843,14,4,0,0
14146,17,3,3,1
14347,70,1,4,1
17039,243,7,10,1
16552,9,4,2,1
15425,51,1,2,0
15393,42,0,8,0
15884,105,11,2,1
16135,67,1,4,0
13831,145,10,8,0
13789,80,4,7,0
13995,148,7,12,2
16724,82,13,13,1
13834,36,4,3,1
14578,247,66,71,1
16430,4055,61,9,0
14054,340,15,7,0
16375,426,48,31,1
16654,32,3,1,0
15397,97,0,18,0
15578,12,3,5,1
14367,67,2,3,1
14073,22,3,2,0
13945,110,12,3,1
14257,85,10,4,1
13601,392,37,15,0
14094,14,1,1,0
16234,73,12,19,1
13933,83,4,1,0
15297,100,2,3,0
15591,30,6,6,1
16076,155,16,19,0
14809,364,30,28,0
15430,369,39,46,1
13663,78,24,29,1
15742,241,11,12,2
14843,19,6,7,1
13607,26,8,5,1
14192,54,5,5,1
14166,40,2,1,0
16856,84,11,0,0
15699,41,4,5,1
15137,29,2,5,0
16017,43,4,4,1
13847,32,4,2,1
16446,94,15,12,0
14224,36,1,3,0
15247,172,5,5,1
16960,28,1,0,0
15520,29,6,1,0
14366,148,11,20,2
13776,95,13,5,0
15218,56,7,7,2
14905,1144,5,9,1
15198,359,26,27,1
16345,107,7,2,0
15668,50,2,5,1
14380,67,6,4,0
15433,203,12,21,1
13741,128,19,29,1
13779,190,17,17,0
15030,672,66,83,1
16931,160,13,11,1
13873,299,35,24,1
16096,127,3,4,0
14778,31,0,0,0
14098,6,0,0,0
14473,47,0,2,0
14431,186,16,25,0
16012,162,36,59,2
16301,75,3,6,1
15079,99,10,11,1
16866,71,11,10,0
13625,177,43,19,1
15322,265,38,45,1
16528,43,5,7,1
16980,22,3,3,2
14885,115,24,14,1
13905,185,27,29,1
15672,47,36,53,0
16855,146,26,3,1
14156,10,1,2,0
16368,239,92,116,1
