Noticed while spinning the 1.1.0RC0 bits. These should be INFO at highest, and perhaps DEBUG.

# cat logs/hbase-root-master-ndimiduk-apache-1-1-dist-6.log | grep WARN

...

2015-05-05 23:40:43,417 WARN  [ndimiduk-apache-1-1-dist-6:33596.activeMasterManager] zookeeper.ZKTableStateManager: Moving table hbase:meta state from null to ENABLED

2015-05-05 23:40:44,860 WARN  [ProcedureExecutorThread-0] zookeeper.ZKTableStateManager: Moving table hbase:namespace state from null to ENABLING

2015-05-05 23:40:44,897 WARN  [ProcedureExecutorThread-0] zookeeper.ZKTableStateManager: Moving table hbase:namespace state from ENABLING to ENABLED

2015-05-05 23:44:04,127 WARN  [ProcedureExecutorThread-1] zookeeper.ZKTableStateManager: Moving table cluster_test state from null to ENABLING

2015-05-05 23:44:04,232 WARN  [ProcedureExecutorThread-1] zookeeper.ZKTableStateManager: Moving table cluster_test state from ENABLING to ENABLED

2015-05-05 23:44:05,168 WARN  [ProcedureExecutorThread-2] zookeeper.ZKTableStateManager: Moving table cluster_test state from DISABLING to DISABLING

2015-05-05 23:44:06,401 WARN  [ProcedureExecutorThread-2] zookeeper.ZKTableStateManager: Moving table cluster_test state from DISABLING to DISABLED

2015-05-05 23:44:08,325 WARN  [ProcedureExecutorThread-0] zookeeper.ZKTableStateManager: Moving table cluster_test state from DISABLED to ENABLING

2015-05-05 23:44:08,883 WARN  [ProcedureExecutorThread-0] zookeeper.ZKTableStateManager: Moving table cluster_test state from ENABLING to ENABLED


