bugid,nl_tokens,code_tokens,classnames,explicit_mentions
13972,47,3,6,1
13151,60,3,0,0
13126,46,2,5,1
12784,161,40,65,1
13973,166,3,12,0
13013,43,4,3,1
13818,27,3,2,0
12039,14,1,3,1
13255,33,3,1,0
13020,64,3,6,0
12529,48,3,3,2
13439,32,0,3,0
12708,84,5,9,0
12478,52,2,4,1
12808,439,3,15,0
13236,9,0,2,0
13115,622,75,57,1
13086,49,0,1,0
13867,165,4,17,3
13373,20,0,2,0
13676,51,1,2,0
12837,174,2,7,1
12568,155,5,16,0
13217,48,3,6,1
13227,52,0,0,0
13645,55,3,5,0
13008,425,46,46,1
13079,49,0,3,0
12643,39,1,3,0
13861,73,3,11,0
14015,436,115,162,1
13904,44,4,2,0
12635,67,0,11,0
13525,16,1,1,0
13361,367,28,44,0
13199,58,2,2,0
13912,494,69,64,1
13686,96,4,5,0
13502,31,3,4,1
13089,54,4,2,0
13342,79,1,1,0
12538,84,2,8,0
12567,932,104,153,1
13110,26,0,3,0
13056,479,30,4,0
12792,8,0,3,0
12941,90,6,4,0
13751,20,1,1,1
13327,21,1,1,0
12951,35,1,1,0
14258,1300,124,108,1
13832,13,0,0,0
12969,28,3,6,1
13065,223,47,87,1
13269,7,0,1,0
13572,79,5,8,2
13330,129,0,13,0
13174,153,49,102,1
13833,37,0,1,0
13146,105,7,20,1
13094,277,29,21,1
13527,268,28,18,1
13320,28,0,1,0
12933,52,0,2,0
13743,244,30,22,0
14006,162,54,64,1
13863,19,1,1,0
13343,56,0,2,0
13083,153,12,11,0
12620,97,9,8,1
13036,22,0,2,0
13216,329,13,6,1
12990,242,26,24,1
13261,169,10,21,1
13185,122,18,31,0
13728,7,1,1,0
13844,174,26,14,0
13440,26,0,1,0
13488,46,0,3,0
13719,8,1,1,1
13700,9,1,2,0
12981,63,8,4,1
13291,46,1,4,0
13434,39,2,2,1
13082,163,48,43,0
13262,42,2,2,1
13372,138,8,10,0
13911,7,1,2,1
13390,9,2,4,1
13325,925,95,124,1
13628,20,0,0,0
13039,122,6,17,0
13333,40,8,6,1
13293,49,1,8,0
13141,51,4,3,0
13510,616,73,99,0
13840,32,0,2,0
13646,85,3,14,0
1608,39,1,2,0
13563,35,1,2,0
12650,53,2,5,0
13042,46,17,10,1
13693,1906,115,120,0
13720,9,1,1,1
13487,191,3,2,0
13523,140,17,10,1
13240,36,5,4,1
13699,41,3,4,1
13242,46,1,3,0
13924,48,5,6,1
13153,33,3,2,0
13108,38,2,2,0
13553,6,1,0,0
13821,54,1,6,0
12937,267,48,35,1
13396,19,2,6,1
13210,62,0,4,2
13381,24,0,6,0
13608,145,11,28,1
13858,104,3,6,0
13169,33,2,6,0
13561,51,3,4,0
12612,411,18,24,1
12999,67,10,21,1
13599,269,51,37,1
13493,48,8,3,0
13876,59,71,49,1
13209,77,30,30,1
13485,19,0,1,0
13251,77,0,12,0
13730,20,1,1,0
13144,38,0,4,0
12865,161,28,29,0
13326,16,1,1,1
13622,234,20,18,4
12367,13,1,4,0
13160,476,31,79,1
13602,36,0,2,0
13175,50,1,4,0
13260,70,5,5,1
12927,35,4,0,0
12992,60,30,11,0
13200,355,5,32,0
13542,30,7,0,0
13927,7,0,0,0
12867,34,1,0,0
13286,71,0,6,0
13767,1011,212,159,0
12466,99,29,35,0
13712,39,3,6,1
13163,113,8,3,1
13077,64,2,1,0
13105,41,2,2,0
12963,147,1,8,0
13415,125,7,5,1
12749,225,1,17,0
13701,49,0,10,0
13458,59,1,4,0
13621,27,8,12,0
13135,21,1,2,0
13201,44,4,5,0
13395,819,25,27,0
13849,57,7,15,0
13016,80,12,12,0
13287,38,1,5,0
12996,556,11,5,0
13494,26,1,4,0
13619,23,0,2,0
13233,36,0,2,0
13186,11,0,2,0
13961,43,2,3,0
13570,362,34,68,1
13300,241,45,81,1
13859,199,5,9,0
13463,70,4,5,1
13394,214,26,46,1
13841,57,4,3,1
13128,256,52,54,2
12619,192,23,34,0
12757,28,1,5,1
12616,58,1,6,0
12993,59,0,6,0
13267,35,3,4,0
13831,179,4,10,1
13856,751,165,165,1
13299,102,1,10,0
13428,18,0,0,0
13021,28,4,2,1
13691,369,51,48,2
13632,85,18,26,1
12502,83,12,10,0
12885,138,6,3,0
13410,54,4,3,0
13405,31,4,4,1
13512,100,7,5,1
13753,70,1,3,1
12441,21,3,2,1
12995,88,1,5,0
13837,6921,229,190,0
13285,82,2,7,0
13096,63,2,3,0
13090,83,24,26,2
13929,499,201,158,2
13618,69,2,11,0
13213,30,1,4,0
14819,59,8,12,2
13246,32,0,3,0
13017,14289,444,394,0
12795,254,27,60,1
13093,48,0,2,0
13533,96,3,4,1
