Modifying TestDateWritable to cover 200 years,  adding all timezones to the set, and making it accumulate errors, results in the following set (I bet many are duplicates via different names, but there's enough).
This ONLY logs errors where YMD date mismatches. There are many more where YMD is the same but the time mismatches, omitted for brevity.
Queries as simple as "select date(...);" reproduce the error (if Java tz is set to a problematic tz)
I was investigating some case for a specific date and it seems like the conversion from dates to ms, namely offset calculation that takes the offset at UTC midnight and the offset at arbitrary time derived from that, is completely bogus and it's not clear why it would work.
I think we either need to derive date from UTC and then create local date from YMD if needed (for many cases e.g. toString for sinks, it would not be needed at all), and/or add a lookup table for timezone used (for popular dates, e.g. 1900-present, it would be 40k-odd entries, although the price of building it is another question).
Format: tz-expected-actual

2016-06-04T18:33:57,499 ERROR [main[]]: io.TestDateWritable (TestDateWritable.java:testDaylightSavingsTime(234)) - 

DATE MISMATCH:

Africa/Abidjan: 1912-01-01 00:16:08 != 1912-12-31 23:43:52

Africa/Accra: 1918-01-01 00:00:52 != 1918-12-31 23:59:08

Africa/Bamako: 1912-01-01 00:16:08 != 1912-12-31 23:43:52

Africa/Banjul: 1912-01-01 00:16:08 != 1912-12-31 23:43:52

Africa/Bissau: 1912-01-01 00:02:20 != 1912-12-31 23:57:40

Africa/Bissau: 1975-01-01 01:00:00 != 1975-12-31 23:00:00

Africa/Casablanca: 1913-10-26 00:30:20 != 1913-10-25 23:29:40

Africa/Ceuta: 1901-01-01 00:21:16 != 1901-12-31 23:38:44

Africa/Conakry: 1912-01-01 00:16:08 != 1912-12-31 23:43:52

Africa/Dakar: 1912-01-01 00:16:08 != 1912-12-31 23:43:52

Africa/El_Aaiun: 1976-04-14 01:00:00 != 1976-04-13 23:00:00

Africa/Freetown: 1912-01-01 00:16:08 != 1912-12-31 23:43:52

Africa/Lome: 1912-01-01 00:16:08 != 1912-12-31 23:43:52

Africa/Monrovia: 1972-05-01 00:44:30 != 1972-04-30 23:15:30

Africa/Nouakchott: 1912-01-01 00:16:08 != 1912-12-31 23:43:52

Africa/Ouagadougou: 1912-01-01 00:16:08 != 1912-12-31 23:43:52

Africa/Sao_Tome: 1912-01-01 00:16:08 != 1912-12-31 23:43:52

