Running this query "create table something2 (test tinyint);" gives the following exception:
org.apache.hadoop.hive.serde2.dynamic_type.ParseException: Encountered "byte" at line 1, column 21.
Was expecting one of:
    "bool" ...
    "i16" ...
    "i32" ...
    "i64" ...
    "double" ...
    "string" ...
    "map" ...
    "list" ...
    "set" ...
    "required" ...
    "optional" ...
    "skip" ...
    <tok_int_constant> ...
    <IDENTIFIER> ...
    "}" ...
	at org.apache.hadoop.hive.serde2.dynamic_type.thrift_grammar.generateParseException(thrift_grammar.java:2321)
	at org.apache.hadoop.hive.serde2.dynamic_type.thrift_grammar.jj_consume_token(thrift_grammar.java:2253)
	at org.apache.hadoop.hive.serde2.dynamic_type.thrift_grammar.Struct(thrift_grammar.java:1172)
	at org.apache.hadoop.hive.serde2.dynamic_type.thrift_grammar.TypeDefinition(thrift_grammar.java:497)
	at org.apache.hadoop.hive.serde2.dynamic_type.thrift_grammar.Definition(thrift_grammar.java:439)
	at org.apache.hadoop.hive.serde2.dynamic_type.thrift_grammar.Start(thrift_grammar.java:101)
	at org.apache.hadoop.hive.serde2.dynamic_type.DynamicSerDe.initialize(DynamicSerDe.java:97)
	at org.apache.hadoop.hive.metastore.MetaStoreUtils.getDeserializer(MetaStoreUtils.java:180)
	at org.apache.hadoop.hive.ql.metadata.Table.initSerDe(Table.java:141)
	at org.apache.hadoop.hive.ql.metadata.Hive.createTable(Hive.java:202)
	at org.apache.hadoop.hive.ql.exec.DDLTask.createTable(DDLTask.java:641)
	at org.apache.hadoop.hive.ql.exec.DDLTask.execute(DDLTask.java:98)
	at org.apache.hadoop.hive.ql.Driver.run(Driver.java:215)
	at org.apache.hadoop.hive.cli.CliDriver.processCmd(CliDriver.java:174)
	at org.apache.hadoop.hive.cli.CliDriver.processLine(CliDriver.java:207)
	at org.apache.hadoop.hive.cli.CliDriver.main(CliDriver.java:305)
