Couldnot able to complete query execution for "insert overwrite directory" query when the Directory path is Multilevel.
create table test ( a int , b int);
load data local inpath '/home/test.txt' into table test;
insert overwrite directory '/test' select * f rom test;(This querjy execute successfully)
insert overwrite directory '/test/test/test' select * f rom test;(This query is throwing below exception)

2011-06-27 12:00:15,383 ERROR exec.MoveTask (SessionState.java:printError(343)) - Failed with exception Unable to rename: hdfs://10.18.40.99:9000/tmp/hive-root/hive_2011-06-27_11-59-52_522_5805414771967651042/-ext-10000 to: /test/test/test org.apache.hadoop.hive.ql.metadata.HiveException: Unable to rename: hdfs://10.18.40.99:9000/tmp/hive-root/hive_2011-06-27_11-59-52_522_5805414771967651042/-ext-10000 to: /test/test/test 	at org.apache.hadoop.hive.ql.exec.MoveTask.moveFile(MoveTask.java:78)

	at org.apache.hadoop.hive.ql.exec.MoveTask.execute(MoveTask.java:122)

	at org.apache.hadoop.hive.ql.exec.Task.executeTask(Task.java:130)

	at org.apache.hadoop.hive.ql.exec.TaskRunner.runSequential(TaskRunner.java:57)

	at org.apache.hadoop.hive.ql.Driver.launchTask(Driver.java:1063)

	at org.apache.hadoop.hive.ql.Driver.execute(Driver.java:900)

	at org.apache.hadoop.hive.ql.Driver.run(Driver.java:748)

	at org.apache.hadoop.hive.service.HiveServer$HiveServerHandler.execute(HiveServer.java:116)

	at org.apache.hadoop.hive.service.ThriftHive$Processor$execute.process(ThriftHive.java:699)

	at org.apache.hadoop.hive.service.ThriftHive$Processor.process(ThriftHive.java:677)

	at org.apache.thrift.server.TThreadPoolServer$WorkerProcess.run(TThreadPoolServer.java:253)

	at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:886)

	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:908)

	at java.lang.Thread.run(Thread.java:619)



2011-06-27 12:00:15,384 ERROR ql.Driver (SessionState.java:printError(343)) - FAILED: Execution Error, return code 1 from org.apache.hadoop.hive.ql.exec.MoveTask




