bugid,nl_tokens,code_tokens,classnames,explicit_mentions
28919,86,31,20,0
28974,117,18,12,0
29186,281,96,51,1
29769,63,4,11,0
29934,126,29,46,0
29959,111,10,22,0
30168,442,54,77,1
30439,117,7,17,1
31423,64,15,18,0
31460,89,4,9,0
32463,166,31,43,0
33635,86,6,23,0
34858,152,39,59,1
34925,290,152,143,3
34951,40,0,4,0
36234,74,0,8,0
36430,431,11,27,0
36803,85,58,66,1
37576,18,1,4,1
37739,107,12,24,0
38131,132,7,19,0
39436,35,1,4,0
39626,121,43,47,0
39993,95,14,15,0
40192,15,0,0,0
40257,21,0,2,0
40380,103,11,7,0
41123,72,28,36,2
41952,271,14,51,3
42539,133,26,28,3
42573,49,1,9,1
42993,181,48,43,0
43033,372,259,281,3
43194,59,20,19,0
43709,187,72,81,1
44117,17,20,24,0
44191,118,4,13,0
44272,93,0,20,0
45489,108,28,24,1
46280,159,16,28,0
46298,305,126,81,0
47318,40,7,11,1
47754,80,34,61,0
47910,101,0,13,0
47952,55,3,4,1
48080,651,78,112,3
48091,119,8,17,0
48990,40,1,7,1
49250,58,13,5,1
49457,417,54,79,0
49638,457,130,120,0
49657,128,20,45,2
49743,48,4,8,1
50200,89,4,6,0
50570,153,31,23,0
50776,155,5,32,0
51320,41,29,44,1
51322,191,53,110,1
51929,103,8,21,0
52394,125,26,24,0
53012,62,10,13,1
53981,166,16,40,1
53999,71,5,18,1
54421,72,8,12,0
54625,28,0,2,0
54965,148,2,14,0
55341,63,4,12,0
57430,30,0,2,0
57436,103,3,9,0
57666,45,14,36,1
58520,59,3,8,0
58681,27,0,3,0
59208,412,109,138,1
59596,98,45,81,1
59895,92,9,15,2
59909,117,11,10,1
60015,80,9,17,0
61411,284,5,31,1
61536,110,13,28,0
62227,96,6,13,0
62642,277,70,58,0
64069,371,24,35,0
64331,138,49,73,1
65319,49,5,14,0
67592,255,33,36,0
67774,167,115,122,0
68494,19,0,2,0
68991,99,13,22,0
69011,95,22,36,0
69459,70,2,8,0
70008,118,22,39,1
70241,14,0,0,0
70619,49,7,12,2
70773,49,6,2,0
71377,196,49,39,1
71723,232,25,25,0
71811,62,2,7,0
71878,69,5,10,0
72150,104,2,7,0
72154,172,2,22,1
72157,142,10,15,0
72528,243,56,56,0
72531,90,5,10,1
72671,128,28,9,0
72699,54,4,21,0
73433,84,7,5,0
74238,111,33,46,1
74952,222,44,29,0
76055,49,7,13,2
76096,144,24,23,1
76798,200,4,29,0
77163,67,3,4,0
77799,20,6,4,1
80249,134,4,20,0
80916,188,48,56,0
81846,14,2,4,1
81863,194,23,35,0
82062,46,2,6,1
82134,183,11,12,0
82171,275,19,20,0
82218,52,12,31,1
82570,142,8,24,0
82752,18,1,1,0
83303,123,4,25,0
83563,147,35,68,1
83565,281,43,67,1
86789,45,1,9,0
87376,17,1,3,0
88652,117,10,18,0
92880,20,0,2,0
95517,37,0,1,0
95529,117,4,12,0
96371,125,18,10,1
98320,76,24,26,0
99168,70,17,39,1
100195,197,53,44,0
100227,69,15,37,1
101047,318,69,50,0
102459,125,3,8,0
103741,96,52,56,0
104218,63,7,8,0
107299,47,2,6,0
108118,25,2,5,0
109173,219,12,26,0
109614,306,85,195,0
112243,229,37,41,0
112736,50,0,10,0
113257,89,15,10,0
113510,32,2,3,0
113511,168,17,20,1
114343,166,24,37,8
114875,91,53,63,3
115251,379,108,96,1
115252,101,10,30,0
115275,115,7,11,0
115607,73,1,15,0
116626,217,72,75,1
116949,440,245,174,0
117189,73,3,6,1
117209,138,28,36,1
117296,36,9,10,2
117681,98,33,42,4
117882,29,15,29,1
118192,17,1,5,0
118599,137,17,26,2
118715,35,2,9,1
118781,49,19,10,0
119210,139,65,91,2
119353,286,56,61,0
119451,117,27,35,0
119539,162,9,43,1
119543,434,99,159,1
119749,217,26,40,1
120351,1306,331,233,0
120356,35,0,2,0
120363,69,1,4,1
120401,62,27,55,1
120474,144,35,47,1
120543,58,2,5,0
120739,58,2,8,0
120909,381,86,99,1
121395,38,15,26,1
121616,260,118,100,0
122370,363,83,92,3
122580,236,116,97,1
122728,140,29,49,1
122742,57,32,54,1
123212,33,17,33,1
123423,69,8,16,0
123612,65,16,32,0
