bugid,nl_tokens,code_tokens,classnames,explicit_mentions
604,64,10,0,0
586,36,0,0,0
588,69,1,0,0
690,483,32,2,0
616,116,6,2,1
589,31,0,0,0
582,5,2,0,0
591,25,1,0,0
704,33,1,3,0
628,100,9,0,0
703,517,62,15,0
631,27,0,0,0
595,65,3,4,0
634,102,6,0,0
637,97,11,0,0
567,71,8,2,0
638,79,8,0,0
569,52,4,3,0
552,61,7,3,0
602,128,18,0,0
565,51,11,5,1
630,82,2,0,0
590,10,1,0,0
652,9,0,1,0
755,8,1,0,0
614,56,7,0,0
705,168,37,6,1
596,77,1,1,0
707,41,3,0,0
639,10,2,0,0
611,157,5,0,0
727,36,8,0,0
594,90,2,3,1
610,78,10,0,0
600,69,0,0,0
698,67,10,0,0
