The signature of:
com.caucho.hessian.server.HessianSkeleton.invoke() has changed between resin 3.0.19 to 3.0.21.
The following exception is thrown when using HessianServiceExporter: 
21:30:13,024 ERROR [resin-tcp-connection-*:8080-21] org.springframework.web.servlet.DispatcherServlet - Could not complete request
org.springframework.web.util.NestedServletException: Hessian skeleton invocation failed; nested exception is java.lang.NoSuchMethodError: com.caucho.hessian.server.HessianSkeleton.invoke(Lcom/caucho/hessian/io/HessianInput;Lcom/caucho/hessian/io/HessianOutput;)V
java.lang.NoSuchMethodError: com.caucho.hessian.server.HessianSkeleton.invoke(Lcom/caucho/hessian/io/HessianInput;Lcom/caucho/hessian/io/HessianOutput;)V
        at org.springframework.remoting.caucho.HessianServiceExporter.handleRequest(HessianServiceExporter.java:91)
        at org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter.handle(SimpleControllerHandlerAdapter.java:44)
        at org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:723)
        at org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:663)
        at org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:394)
        at org.springframework.web.servlet.FrameworkServlet.doPost(FrameworkServlet.java:358)
        at javax.servlet.http.HttpServlet.service(HttpServlet.java:154)
        at javax.servlet.http.HttpServlet.service(HttpServlet.java:92)
        at com.caucho.server.dispatch.ServletFilterChain.doFilter(ServletFilterChain.java:106)
        at com.caucho.server.webapp.WebAppFilterChain.doFilter(WebAppFilterChain.java:173)
        at com.caucho.server.dispatch.ServletInvocation.service(ServletInvocation.java:229)
        at com.caucho.server.http.HttpRequest.handleRequest(HttpRequest.java:274)
        at com.caucho.server.port.TcpConnection.run(TcpConnection.java:511)
        at com.caucho.util.ThreadPool.runTasks(ThreadPool.java:516)
        at com.caucho.util.ThreadPool.run(ThreadPool.java:442)
        at java.lang.Thread.run(Thread.java:595)
