The attached script successfully generates a GWT app via Roo which include a boolean --primitive field.  When running the app, the following stack trace is generated when saving an object that uses the boolean field:
[INFO] 2010-10-06 15:17:36,266 [btpool0-0] DEBUG org.springframework.orm.jpa.support.OpenEntityManagerInViewFilter - Using EntityManagerFactory 'entityManagerFactory' for OpenEntityManagerInViewFilter
[INFO] 2010-10-06 15:17:36,267 [btpool0-0] DEBUG org.springframework.beans.factory.support.DefaultListableBeanFactory - Returning cached instance of singleton bean 'entityManagerFactory'
[INFO] 2010-10-06 15:17:36,267 [btpool0-0] DEBUG org.springframework.orm.jpa.support.OpenEntityManagerInViewFilter - Opening JPA EntityManager in OpenEntityManagerInViewFilter
[INFO] 2010-10-06 15:17:36,267 [btpool0-0] DEBUG org.hibernate.impl.SessionImpl - opened session at timestamp: 12863926562
[INFO] 2010-10-06 15:17:36,271 [btpool0-0] DEBUG org.springframework.beans.factory.annotation.InjectionMetadata - Processing injected method of bean 'org.springsource.roo.petclinic.server.domain.Pet': PersistenceElement for transient javax.persistence.EntityManager org.springsource.roo.petclinic.server.domain.Pet.entityManager
[INFO] 2010-10-06 15:17:36,271 [btpool0-0] DEBUG org.springframework.beans.factory.support.DefaultListableBeanFactory - Returning cached instance of singleton bean 'entityManagerFactory'
[ERROR] Oct 6, 2010 3:17:36 PM com.google.gwt.requestfactory.server.RequestFactoryServlet doPost
[ERROR] SEVERE: Unexpected error
[ERROR] com.google.gwt.requestfactory.server.RequestProcessingException: Unexpected exception
[ERROR] 	at com.google.gwt.requestfactory.server.JsonRequestProcessor.decodeAndInvokeRequest(JsonRequestProcessor.java:233)
[INFO] 2010-10-06 15:17:36,278 [btpool0-0] DEBUG org.springframework.orm.jpa.support.OpenEntityManagerInViewFilter - Closing JPA EntityManager in OpenEntityManagerInViewFilter
[ERROR] 	at com.google.gwt.requestfactory.server.JsonRequestProcessor.decodeAndInvokeRequest(JsonRequestProcessor.java:62)
[ERROR] 	at com.google.gwt.requestfactory.server.RequestFactoryServlet.doPost(RequestFactoryServlet.java:122)
[INFO] 2010-10-06 15:17:36,279 [btpool0-0] DEBUG org.springframework.orm.jpa.EntityManagerFactoryUtils - Closing JPA EntityManager
[ERROR] 	at javax.servlet.http.HttpServlet.service(HttpServlet.java:727)
[ERROR] 	at javax.servlet.http.HttpServlet.service(HttpServlet.java:820)
[ERROR] 	at org.mortbay.jetty.servlet.ServletHolder.handle(ServletHolder.java:487)
[ERROR] 	at org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1097)
[ERROR] 	at org.springframework.web.filter.HiddenHttpMethodFilter.doFilterInternal(HiddenHttpMethodFilter.java:77)
[ERROR] 	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:76)
[ERROR] 	at org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1088)
[ERROR] 	at org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal(CharacterEncodingFilter.java:88)
[ERROR] 	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:76)
[ERROR] 	at org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1088)
[ERROR] 	at org.springframework.orm.jpa.support.OpenEntityManagerInViewFilter.doFilterInternal(OpenEntityManagerInViewFilter.java:113)
[ERROR] 	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:76)
[ERROR] 	at org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1088)
[ERROR] 	at org.mortbay.jetty.servlet.ServletHandler.handle(ServletHandler.java:360)
[ERROR] 	at org.mortbay.jetty.security.SecurityHandler.handle(SecurityHandler.java:216)
[ERROR] 	at org.mortbay.jetty.servlet.SessionHandler.handle(SessionHandler.java:181)
[ERROR] 	at org.mortbay.jetty.handler.ContextHandler.handle(ContextHandler.java:729)
[ERROR] 	at org.mortbay.jetty.webapp.WebAppContext.handle(WebAppContext.java:405)
[ERROR] 	at org.mortbay.jetty.handler.HandlerWrapper.handle(HandlerWrapper.java:152)
[ERROR] 	at org.mortbay.jetty.handler.RequestLogHandler.handle(RequestLogHandler.java:49)
[ERROR] 	at org.mortbay.jetty.handler.HandlerWrapper.handle(HandlerWrapper.java:152)
[ERROR] 	at org.mortbay.jetty.Server.handle(Server.java:324)
[ERROR] 	at org.mortbay.jetty.HttpConnection.handleRequest(HttpConnection.java:505)
[ERROR] 	at org.mortbay.jetty.HttpConnection$RequestHandler.content(HttpConnection.java:843)
[ERROR] 	at org.mortbay.jetty.HttpParser.parseNext(HttpParser.java:647)
[ERROR] 	at org.mortbay.jetty.HttpParser.parseAvailable(HttpParser.java:211)
[ERROR] 	at org.mortbay.jetty.HttpConnection.handle(HttpConnection.java:380)
[ERROR] 	at org.mortbay.io.nio.SelectChannelEndPoint.run(SelectChannelEndPoint.java:395)
[ERROR] 	at org.mortbay.thread.QueuedThreadPool$PoolThread.run(QueuedThreadPool.java:488)
[ERROR] Caused by: java.lang.NoSuchMethodException: org.springsource.roo.petclinic.server.domain.Pet.setSendReminders(java.lang.Boolean)
[ERROR] 	at java.lang.Class.getMethod(Class.java:1622)
[ERROR] 	at com.google.gwt.requestfactory.server.JsonRequestProcessor.getEntityDataForRecordWithSettersApplied(JsonRequestProcessor.java:516)
[ERROR] 	at com.google.gwt.requestfactory.server.JsonRequestProcessor.constructAfterDvsDataMapAfterCallingSetters(JsonRequestProcessor.java:1090)
[ERROR] 	at com.google.gwt.requestfactory.server.JsonRequestProcessor.processJsonRequest(JsonRequestProcessor.java:859)
[ERROR] 	at com.google.gwt.requestfactory.server.JsonRequestProcessor.decodeAndInvokeRequest(JsonRequestProcessor.java:223)
[ERROR] 	... 31 more
[ERROR] Wed Oct 06 15:17:38 EDT 2010 org.springsource.roo.petclinic.client.scaffold.Scaffold
[ERROR] SEVERE: One or more exceptions caught, see full set in UmbrellaException#getCauses
[ERROR] com.google.gwt.event.shared.UmbrellaException: One or more exceptions caught, see full set in UmbrellaException#getCauses
[ERROR] 	at com.google.gwt.event.shared.SimpleEventBus.doFire(SimpleEventBus.java:214)
[ERROR] 	at com.google.gwt.event.shared.SimpleEventBus.fireEvent(SimpleEventBus.java:103)
[ERROR] 	at com.google.gwt.app.place.PlaceController.goTo(PlaceController.java:120)
[ERROR] 	at com.google.gwt.app.place.AbstractProxyEditActivity.exit(AbstractProxyEditActivity.java:145)
[ERROR] 	at com.google.gwt.app.place.CreateAndEditProxy.exit(CreateAndEditProxy.java:57)
[ERROR] 	at com.google.gwt.app.place.AbstractProxyEditActivity$1.onSuccess(AbstractProxyEditActivity.java:108)
[ERROR] 	at com.google.gwt.app.place.AbstractProxyEditActivity$1.onSuccess(AbstractProxyEditActivity.java:1)
[ERROR] 	at com.google.gwt.requestfactory.client.impl.AbstractRequestContext$4.onTransportSuccess(AbstractRequestContext.java:395)
[ERROR] 	at com.google.gwt.requestfactory.client.DefaultRequestTransport$1.onResponseReceived(DefaultRequestTransport.java:140)
[ERROR] 	at com.google.gwt.http.client.Request.fireOnResponseReceived(Request.java:287)
[ERROR] 	at com.google.gwt.http.client.RequestBuilder$1.onReadyStateChange(RequestBuilder.java:395)
[ERROR] 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
[ERROR] 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
[ERROR] 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
[ERROR] 	at java.lang.reflect.Method.invoke(Method.java:616)
[ERROR] 	at com.google.gwt.dev.shell.MethodAdaptor.invoke(MethodAdaptor.java:103)
[ERROR] 	at com.google.gwt.dev.shell.MethodDispatch.invoke(MethodDispatch.java:71)
[ERROR] 	at com.google.gwt.dev.shell.OophmSessionHandler.invoke(OophmSessionHandler.java:157)
[ERROR] 	at com.google.gwt.dev.shell.BrowserChannelServer.reactToMessagesWhileWaitingForReturn(BrowserChannelServer.java:326)
[ERROR] 	at com.google.gwt.dev.shell.BrowserChannelServer.invokeJavascript(BrowserChannelServer.java:207)
[ERROR] 	at com.google.gwt.dev.shell.ModuleSpaceOOPHM.doInvoke(ModuleSpaceOOPHM.java:126)
[ERROR] 	at com.google.gwt.dev.shell.ModuleSpace.invokeNative(ModuleSpace.java:562)
[ERROR] 	at com.google.gwt.dev.shell.ModuleSpace.invokeNativeObject(ModuleSpace.java:269)
[ERROR] 	at com.google.gwt.dev.shell.JavaScriptHost.invokeNativeObject(JavaScriptHost.java:91)
[ERROR] 	at com.google.gwt.core.client.impl.Impl.apply(Impl.java)
[ERROR] 	at com.google.gwt.core.client.impl.Impl.entry0(Impl.java:214)
[ERROR] 	at sun.reflect.GeneratedMethodAccessor39.invoke(Unknown Source)
[ERROR] 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
[ERROR] 	at java.lang.reflect.Method.invoke(Method.java:616)
[ERROR] 	at com.google.gwt.dev.shell.MethodAdaptor.invoke(MethodAdaptor.java:103)
[ERROR] 	at com.google.gwt.dev.shell.MethodDispatch.invoke(MethodDispatch.java:71)
[ERROR] 	at com.google.gwt.dev.shell.OophmSessionHandler.invoke(OophmSessionHandler.java:157)
