bugid,nl_tokens,code_tokens,classnames,explicit_mentions
1592,231,11,0,0
1679,27,0,0,0
1857,86,11,5,2
1519,164,23,10,1
1590,81,11,6,1
1848,14,4,3,1
1733,97,6,2,1
1444,61,12,4,2
1458,79,7,2,1
1418,148,11,2,1
1712,18,4,2,1
1714,426,13,1,1
1771,42,4,6,1
1501,50,9,6,1
1578,45,6,2,1
1750,38,5,5,2
1448,121,29,10,1
1583,35,7,0,0
1549,35,2,2,1
1764,42,8,1,0
1802,58,1,1,1
1768,131,1,4,0
1639,153,19,7,2
1795,126,25,9,2
1521,74,32,13,1
1661,44,2,0,0
1446,68,7,12,1
1741,58,4,5,3
1752,200,18,4,0
1520,73,11,2,1
1705,5,1,1,0
1607,13,0,0,0
1425,42,8,5,1
1561,231,9,8,0
1543,115,13,4,1
1820,142,16,16,1
1701,89,13,6,1
1454,350,44,6,1
1722,29,8,3,1
1662,248,25,5,1
1507,156,74,35,1
1462,216,12,1,0
1443,283,14,6,1
1545,112,1,2,0
1836,144,44,15,1
1790,69,20,4,1
1606,163,24,10,2
1540,126,3,7,0
1670,46,9,1,1
1432,37,1,0,0
1439,31,9,5,1
1450,165,21,1,1
1683,17,4,3,1
1792,5,3,1,1
1587,229,13,9,1
1770,44,7,3,0
1500,155,8,2,2
1833,23,3,1,1
1584,250,8,5,0
1772,23,5,3,0
1608,10,1,1,0
1699,86,18,11,1
1553,4,1,1,1
1700,221,35,11,1
1653,67,6,0,0
1480,15,3,2,1
1751,203,15,6,1
