bugid,nl_tokens,code_tokens,classnames,explicit_mentions
1805,51,3,1,1
263,165,0,8,0
1528,119,3,1,0
1756,28,0,0,0
1592,47,3,2,1
1315,97,1,0,0
1491,41,3,1,0
1908,166,1,5,0
1765,110,15,18,1
1029,48,5,5,1
1563,461,12,15,1
1708,1188,211,89,0
1590,181,8,3,0
1170,41,2,3,0
1896,1192,7,2,0
1824,940,53,59,2
1743,269,7,11,1
1918,74,2,1,0
1642,51,0,2,0
1452,38,4,4,1
1771,151,25,13,1
1714,96,3,0,0
1501,130,15,8,1
1572,48,0,0,0
1395,13,0,0,0
1595,87,6,0,0
1578,485,38,35,0
1627,175,9,1,0
1448,308,5,12,1
1846,655,40,49,0
1710,41,3,4,0
1557,60,3,1,1
1657,168,8,10,0
2008,19,0,1,0
1114,607,83,55,1
1263,30,5,1,1
1481,23,0,4,0
1922,66,2,2,0
1552,351,15,3,0
1346,18,0,1,0
1171,19,1,4,1
1493,61,9,6,1
2021,90,2,3,0
1428,46,0,4,0
1635,332,27,46,1
1479,46,0,3,0
1399,50,0,0,0
1644,82,5,0,0
1474,50,13,6,0
701,139,0,10,0
1687,55,0,2,0
1617,145,4,1,0
2026,466,16,3,0
1607,51,0,6,0
1807,125,4,1,0
1471,110,5,5,0
1579,645,35,40,1
1490,97,6,5,0
1992,73,3,4,0
1815,566,30,35,1
1975,63,3,6,1
1980,39,0,0,0
1718,163,7,4,0
1611,251,8,13,0
1647,81,9,3,0
1928,560,56,61,1
1869,79,11,14,1
1731,352,27,27,1
149,177,4,9,1
2013,62,0,7,0
1462,53,1,4,0
1486,89,20,2,1
1333,36,0,7,0
1793,323,9,8,0
1260,364,21,21,0
1915,86,7,2,1
1470,60,3,0,0
1554,29,4,9,1
1306,4234,765,336,1
1546,300,3,0,0
1706,59,0,0,0
1799,105,2,1,1
1042,139,23,22,1
1439,25,1,0,0
1456,109,6,4,1
1453,59,0,4,0
1997,257,26,40,1
1761,26,2,5,1
683,57,13,3,1
1570,206,3,7,0
1430,163,19,35,1
1450,43,4,4,1
1715,129,22,15,0
794,332,29,2,1
1625,577,2,7,0
1851,997,6,3,0
1522,35,6,3,1
2083,65,0,2,0
1847,82,3,4,1
1523,43,1,4,1
1686,63,0,3,0
2017,358,32,32,0
1525,49,2,0,0
1231,31,2,2,0
1398,16,4,1,1
1370,45,0,4,0
1464,33,4,0,0
1640,42,6,2,1
1864,75,0,4,0
1699,50,6,1,0
1397,342,24,28,1
1028,291,100,37,1
1373,61,3,9,0
2006,39,2,5,1
1959,575,0,3,0
1426,184,47,25,1
1785,340,37,57,2
1936,72,0,1,0
1951,27,0,1,0
1845,436,93,63,4
