I downloaded the WF9 CR2 release this morning and have been testing functionality.  A new exception has appeared with this release.  This did not happen with a source release that was downloaded and built between CR1 and CR2, so was just introduced in the last week or so.
We have a Flex application that is throwing the following exception as it's being loaded:
[BlazeDS]javax/sql/RowSet






java.lang.NoClassDefFoundError: javax/sql/RowSet




    at flex.messaging.io.amf.Amf3Output.writeObject(Amf3Output.java:198)




    at flex.messaging.messages.AbstractMessage.writeExternal(AbstractMessage.java:444)




    at flex.messaging.messages.AsyncMessage.writeExternal(AsyncMessage.java:140)




    at flex.messaging.messages.AcknowledgeMessage.writeExternal(AcknowledgeMessage.java:94)




    at flex.messaging.messages.AcknowledgeMessageExt.writeExternal(AcknowledgeMessageExt.java:55)




    at flex.messaging.io.amf.Amf3Output.writePropertyProxy(Amf3Output.java:594)




    at flex.messaging.io.amf.Amf3Output.writeCustomObject(Amf3Output.java:532)




    at flex.messaging.io.amf.Amf3Output.writeObject(Amf3Output.java:112)




    at flex.messaging.io.amf.Amf0Output.writeObject(Amf0Output.java:206)




    at flex.messaging.io.amf.AmfMessageSerializer.writeObject(AmfMessageSerializer.java:196)




    at flex.messaging.io.amf.AmfMessageSerializer.writeBody(AmfMessageSerializer.java:186)




    at flex.messaging.io.amf.AmfMessageSerializer.writeMessage(AmfMessageSerializer.java:142)




    at flex.messaging.endpoints.amf.SerializationFilter.invoke(SerializationFilter.java:198)




    at flex.messaging.endpoints.BaseHTTPEndpoint.service(BaseHTTPEndpoint.java:291)




    at flex.messaging.MessageBrokerServlet.service(MessageBrokerServlet.java:353)




    at javax.servlet.http.HttpServlet.service(HttpServlet.java:790)




    at io.undertow.servlet.handlers.ServletHandler.handleRequest(ServletHandler.java:86)




    at io.undertow.servlet.handlers.security.ServletSecurityRoleHandler.handleRequest(ServletSecurityRoleHandler.java:62)




    at io.undertow.servlet.handlers.ServletDispatchingHandler.handleRequest(ServletDispatchingHandler.java:36)




    at org.wildfly.extension.undertow.security.SecurityContextAssociationHandler.handleRequest(SecurityContextAssociationHandler.java:78)




    at io.undertow.server.handlers.PredicateHandler.handleRequest(PredicateHandler.java:43)




    at io.undertow.servlet.handlers.security.SSLInformationAssociationHandler.handleRequest(SSLInformationAssociationHandler.java:131)




    at io.undertow.servlet.handlers.security.ServletAuthenticationCallHandler.handleRequest(ServletAuthenticationCallHandler.java:57)




    at io.undertow.server.handlers.PredicateHandler.handleRequest(PredicateHandler.java:43)




    at io.undertow.security.handlers.AbstractConfidentialityHandler.handleRequest(AbstractConfidentialityHandler.java:46)




    at io.undertow.servlet.handlers.security.ServletConfidentialityConstraintHandler.handleRequest(ServletConfidentialityConstraintHandler.java:64)




    at io.undertow.security.handlers.AuthenticationMechanismsHandler.handleRequest(AuthenticationMechanismsHandler.java:58)




    at io.undertow.servlet.handlers.security.CachedAuthenticatedSessionHandler.handleRequest(CachedAuthenticatedSessionHandler.java:72)




    at io.undertow.security.handlers.NotificationReceiverHandler.handleRequest(NotificationReceiverHandler.java:50)




    at io.undertow.security.handlers.SecurityInitialHandler.handleRequest(SecurityInitialHandler.java:76)




    at io.undertow.server.handlers.PredicateHandler.handleRequest(PredicateHandler.java:43)




    at org.wildfly.extension.undertow.security.jacc.JACCContextIdHandler.handleRequest(JACCContextIdHandler.java:61)




    at io.undertow.server.handlers.PredicateHandler.handleRequest(PredicateHandler.java:43)




    at io.undertow.server.handlers.PredicateHandler.handleRequest(PredicateHandler.java:43)




    at io.undertow.servlet.handlers.ServletInitialHandler.handleFirstRequest(ServletInitialHandler.java:274)




    at io.undertow.servlet.handlers.ServletInitialHandler.dispatchRequest(ServletInitialHandler.java:253)




    at io.undertow.servlet.handlers.ServletInitialHandler.access$000(ServletInitialHandler.java:80)




    at io.undertow.servlet.handlers.ServletInitialHandler$1.handleRequest(ServletInitialHandler.java:172)




    at io.undertow.server.Connectors.executeRootHandler(Connectors.java:199)




    at io.undertow.server.HttpServerExchange$1.run(HttpServerExchange.java:774)




    at java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source)




    at java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source)




    at java.lang.Thread.run(Unknown Source)




Caused by: java.lang.ClassNotFoundException: javax.sql.RowSet from [Module "deployment.Test.ear.test.war:main" from Service Module Loader]




    at org.jboss.modules.ModuleClassLoader.findClass(ModuleClassLoader.java:205)




    at org.jboss.modules.ConcurrentClassLoader.performLoadClassUnchecked(ConcurrentClassLoader.java:455)




    at org.jboss.modules.ConcurrentClassLoader.performLoadClassChecked(ConcurrentClassLoader.java:404)




    at org.jboss.modules.ConcurrentClassLoader.performLoadClass(ConcurrentClassLoader.java:385)




    at org.jboss.modules.ConcurrentClassLoader.loadClass(ConcurrentClassLoader.java:130)




    ... 43 more








See more at: https://developer.jboss.org/thread/260451#sthash.LJ3DCVsa.dpuf

